Transaction_ID,User_ID,Transaction_Amount,Account_Age_Months,Number_of_Transactions_Last_24H,Previous_Fraudulent_Transactions,Device_Used,Location,Payment_Method,Transaction_Type,Fraudulent
336,1962,68.86781098390749,117,19,2,Unknown,Unknown,Bank Transfer,Purchase,0
337,1510,107.83381020390726,19,9,4,Mobile,Unknown,Bank Transfer,Withdrawal,0
338,1146,60.86508889539872,42,2,1,Tablet,Unknown,Crypto,Purchase,0
339,1147,116.33011022857887,35,12,2,Unknown,USA,Credit Card,Transfer,0
340,1863,31.89665583048638,46,4,1,Tablet,India,Debit Card,Withdrawal,0
341,1710,141.16622549302576,26,4,2,Desktop,USA,Bank Transfer,Purchase,0
342,1819,118.90389929652173,115,18,4,Tablet,India,Debit Card,Purchase,0
343,1488,110.24118937255503,69,15,3,Desktop,Unknown,Bank Transfer,Purchase,0
344,1928,139.30763935782056,93,19,4,Tablet,Unknown,Credit Card,Purchase,0
345,1935,166.61897777850305,64,13,0,Mobile,Germany,Crypto,Purchase,0
346,1639,140.5748026007252,37,19,2,Tablet,India,Debit Card,Withdrawal,0
347,1550,26.365030746734192,84,17,0,Mobile,Unknown,Debit Card,Purchase,0
348,1337,48.81692133057194,49,6,0,Mobile,UK,Crypto,Withdrawal,0
349,1871,75.00725689217285,21,16,1,Unknown,Germany,Debit Card,Purchase,0
350,1640,101.04364200843335,74,12,2,Mobile,USA,Bank Transfer,Transfer,0
351,1778,120.70636081876492,64,19,0,Desktop,Germany,Crypto,Transfer,0
352,1987,70.97024747386138,5,5,3,Unknown,UK,Bank Transfer,Purchase,0
353,1952,107.47067057908313,100,17,0,Unknown,India,Bank Transfer,Transfer,0
354,1472,69.7846827058671,70,1,3,Tablet,USA,Credit Card,Withdrawal,0
355,1945,75.53928788032206,90,10,1,Mobile,USA,Bank Transfer,Purchase,0
356,1150,43.73355612607111,4,15,0,Mobile,India,Credit Card,Withdrawal,0
357,1414,63.07067015556383,103,11,4,Desktop,Germany,Debit Card,Purchase,0
358,1989,45.932615775346655,39,13,1,Tablet,Unknown,Debit Card,Transfer,0
359,1297,60.96506988090669,114,5,3,Tablet,Germany,Credit Card,Withdrawal,0
360,1610,142.14567186431358,35,1,1,Unknown,UK,Bank Transfer,Transfer,0
361,1262,62.02404444672228,1,12,0,Unknown,Unknown,Crypto,Transfer,1
362,1763,205.29528259349564,24,11,2,Unknown,Germany,Crypto,Purchase,1
363,1143,119.73271603523557,57,17,2,Desktop,India,Credit Card,Withdrawal,0
364,1345,107.39344494779496,100,4,3,Desktop,UK,Debit Card,Transfer,0
365,1623,65.66568879275147,70,15,3,Unknown,UK,Debit Card,Purchase,0
366,1571,128.01239517635966,41,9,2,Tablet,UK,Crypto,Purchase,0
367,1880,76.97448695048905,54,19,3,Desktop,Unknown,Credit Card,Purchase,0
368,1001,104.88039258581446,46,19,1,Tablet,USA,Crypto,Transfer,0
369,1896,202.4033815307518,60,12,4,Tablet,Unknown,Bank Transfer,Purchase,1
370,1303,96.157604011014,108,5,4,Mobile,Germany,Bank Transfer,Withdrawal,0
371,1253,145.97093305142704,60,10,1,Unknown,USA,Credit Card,Withdrawal,0
372,1651,71.8729429949645,57,17,4,Mobile,Germany,Credit Card,Transfer,0
373,1452,98.60046038012153,31,5,0,Unknown,USA,Bank Transfer,Withdrawal,0
374,1036,170.8320254254204,84,16,1,Unknown,Unknown,Debit Card,Purchase,0
375,1159,74.9213176884893,24,7,3,Tablet,UK,Credit Card,Transfer,0
376,1008,172.49794231987715,89,9,1,Unknown,India,Bank Transfer,Purchase,0
377,1232,128.310077418219,36,3,2,Tablet,UK,Bank Transfer,Transfer,0
378,1098,77.50132896422929,85,15,3,Tablet,Unknown,Debit Card,Transfer,0
379,1658,125.29630956222084,30,16,2,Unknown,USA,Debit Card,Purchase,0
380,1815,138.9021779850692,24,18,3,Tablet,UK,Debit Card,Withdrawal,0
381,1207,124.87239848868785,108,14,4,Tablet,Unknown,Debit Card,Withdrawal,0
382,1130,37.191011204381745,106,3,1,Tablet,Germany,Crypto,Transfer,0
383,1403,70.91451296700527,30,12,0,Desktop,India,Debit Card,Purchase,0
384,1151,90.0992545779398,86,9,3,Tablet,UK,Crypto,Purchase,0
385,1053,97.02266283599815,92,7,3,Desktop,USA,Credit Card,Transfer,0
386,1119,124.82688390202712,7,9,2,Desktop,Germany,Bank Transfer,Withdrawal,0
387,1672,107.10804003733016,35,13,4,Tablet,Unknown,Crypto,Purchase,0
388,1919,46.58622565159595,55,18,2,Tablet,India,Credit Card,Withdrawal,0
389,1627,115.20791404023853,92,5,2,Desktop,USA,Credit Card,Withdrawal,0
390,1586,124.42342981135292,14,13,4,Desktop,Unknown,Crypto,Transfer,0
391,1624,122.39161791724159,10,4,0,Tablet,Unknown,Credit Card,Transfer,0
392,1967,143.23122902218486,80,2,2,Tablet,UK,Credit Card,Withdrawal,0
393,1419,133.35688618195616,16,16,2,Unknown,UK,Crypto,Purchase,0
394,1421,118.36720316913747,54,9,3,Desktop,USA,Credit Card,Purchase,0
395,1103,97.19337154165412,95,9,4,Desktop,Unknown,Debit Card,Transfer,0
396,1851,33.56156265936035,106,6,1,Unknown,UK,Debit Card,Withdrawal,0
397,1253,117.18472876530343,89,11,0,Desktop,India,Bank Transfer,Purchase,0
398,1226,108.30750748652444,77,1,0,Mobile,India,Credit Card,Purchase,0
399,1111,110.86315348781494,70,4,4,Desktop,Unknown,Bank Transfer,Transfer,0
400,1509,48.930056967187625,44,13,3,Unknown,UK,Debit Card,Withdrawal,0
401,1472,56.757738383669505,73,13,3,Mobile,USA,Debit Card,Purchase,0
402,1098,142.12611413331615,45,13,4,Tablet,USA,Debit Card,Transfer,0
403,1152,98.4177938457338,100,2,3,Unknown,USA,Credit Card,Purchase,0
404,1860,127.26002789490498,56,9,0,Unknown,India,Credit Card,Purchase,0
405,1913,101.13273504521845,107,8,0,Tablet,UK,Debit Card,Purchase,0
406,1895,101.1902455798298,84,7,1,Unknown,UK,Bank Transfer,Transfer,0
407,1877,137.5313522390399,82,4,4,Desktop,India,Bank Transfer,Withdrawal,0
408,1337,79.35821087130505,107,18,2,Tablet,USA,Crypto,Transfer,0
409,1705,103.84483107763934,57,3,2,Unknown,USA,Debit Card,Withdrawal,0
410,1821,81.5089884517983,21,6,1,Tablet,Unknown,Bank Transfer,Purchase,0
411,1162,82.62015090270738,68,12,1,Tablet,Germany,Debit Card,Withdrawal,0
412,1719,87.63311506125443,50,12,3,Tablet,UK,Bank Transfer,Purchase,0
413,1956,108.88535086534851,33,8,1,Mobile,UK,Crypto,Purchase,0
414,1680,80.8500551334609,91,1,1,Unknown,UK,Crypto,Transfer,0
415,1995,150.23024502294084,7,4,2,Mobile,Germany,Debit Card,Purchase,0
416,1160,64.21570791121985,70,11,3,Unknown,Unknown,Bank Transfer,Transfer,1
417,1579,92.52513423354564,15,3,1,Desktop,Germany,Credit Card,Withdrawal,0
418,1800,82.410757669033,82,13,1,Desktop,USA,Crypto,Withdrawal,0
419,1397,157.8791153741493,32,17,3,Desktop,USA,Debit Card,Purchase,0
420,1276,107.86219106046299,75,10,4,Unknown,UK,Debit Card,Transfer,0
421,1815,141.2737815787454,20,12,3,Tablet,India,Bank Transfer,Purchase,0
422,1915,40.577585078521125,88,15,2,Tablet,UK,Debit Card,Transfer,0
423,1503,110.68201063477035,15,10,4,Mobile,India,Crypto,Transfer,0
424,1895,135.58523182493747,48,14,0,Mobile,Germany,Debit Card,Transfer,0
425,1391,103.29135957101697,71,13,3,Desktop,USA,Debit Card,Withdrawal,0
426,1134,142.61921500261406,21,5,2,Mobile,India,Credit Card,Transfer,0
427,1194,79.30846199598511,42,6,4,Unknown,Germany,Credit Card,Withdrawal,0
428,1400,156.3738976074232,26,2,3,Unknown,USA,Crypto,Transfer,0
429,1639,191.95592494477,108,17,1,Mobile,India,Bank Transfer,Withdrawal,0
430,1032,85.48645758241364,14,4,3,Mobile,UK,Credit Card,Withdrawal,0
431,1687,82.17989914396912,57,14,0,Mobile,UK,Bank Transfer,Withdrawal,0
432,1459,158.13537908470803,37,10,3,Mobile,UK,Crypto,Purchase,0
433,1954,163.1828858292285,58,3,4,Desktop,Germany,Credit Card,Transfer,0
434,1882,79.08559891386926,21,3,4,Desktop,UK,Bank Transfer,Purchase,0
435,1469,83.19252731616571,82,15,3,Mobile,Unknown,Credit Card,Transfer,0
436,1374,88.72861564557971,69,6,4,Unknown,USA,Crypto,Transfer,0
437,1021,46.22197955862892,3,17,1,Desktop,Germany,Crypto,Purchase,0
438,1749,63.25392214063207,87,12,3,Unknown,UK,Credit Card,Withdrawal,0
439,1669,59.83436932991729,90,11,1,Tablet,USA,Bank Transfer,Transfer,0
440,1037,69.28809739583485,37,4,1,Unknown,India,Debit Card,Withdrawal,0
441,1229,98.61260450452875,88,6,2,Mobile,UK,Debit Card,Purchase,0
442,1364,109.36858930146083,49,1,3,Tablet,USA,Credit Card,Withdrawal,0
443,1562,162.02001971256308,19,16,4,Desktop,Unknown,Bank Transfer,Transfer,0
444,1437,60.06583837044836,115,15,1,Desktop,India,Debit Card,Transfer,0
445,1775,139.37289593906334,89,17,2,Tablet,Unknown,Crypto,Transfer,0
446,1282,91.44044623097965,85,8,3,Unknown,USA,Bank Transfer,Purchase,0
447,1026,98.02145161390268,12,12,3,Desktop,Unknown,Debit Card,Transfer,0
448,1225,126.99277968666415,61,10,0,Mobile,USA,Bank Transfer,Purchase,0
449,1276,55.09111913750806,41,15,0,Tablet,USA,Credit Card,Withdrawal,0
450,1797,115.29638984736202,33,9,1,Mobile,Unknown,Bank Transfer,Transfer,0
451,1608,106.65808832852224,50,2,0,Tablet,USA,Debit Card,Transfer,0
452,1283,119.69805056032597,117,5,1,Desktop,UK,Credit Card,Transfer,0
453,1878,111.56674575631273,68,6,4,Unknown,USA,Bank Transfer,Withdrawal,0
454,1959,198.21200559643577,106,7,1,Tablet,Germany,Crypto,Transfer,0
455,1480,74.49040062994736,71,1,0,Tablet,USA,Debit Card,Purchase,0
456,1452,78.76012179992729,86,7,4,Mobile,Germany,Credit Card,Withdrawal,0
457,1828,75.07437894300942,119,12,0,Desktop,USA,Bank Transfer,Withdrawal,0
458,1815,77.78091523358981,33,16,1,Mobile,USA,Crypto,Withdrawal,0
459,1658,74.50451490773929,81,16,2,Desktop,Unknown,Debit Card,Withdrawal,0
460,1515,147.56066124430208,24,11,3,Mobile,UK,Crypto,Withdrawal,0
461,1546,156.8201699195942,61,4,0,Tablet,UK,Bank Transfer,Purchase,0
462,1191,77.17014825002096,61,13,1,Mobile,India,Bank Transfer,Withdrawal,0
463,1048,66.70577707583085,98,7,4,Unknown,Unknown,Credit Card,Transfer,0
464,1511,118.85662225545616,28,4,0,Desktop,Unknown,Crypto,Withdrawal,0
465,1016,77.91107822876114,58,15,0,Desktop,UK,Credit Card,Withdrawal,0
466,1171,125.31727271022044,43,19,3,Tablet,Unknown,Debit Card,Withdrawal,0
467,1219,108.116920834052,41,9,1,Desktop,UK,Credit Card,Withdrawal,0
468,1157,39.37023540011072,39,11,2,Unknown,Unknown,Debit Card,Withdrawal,0
469,1476,161.90020805320245,86,8,4,Mobile,USA,Bank Transfer,Purchase,0
470,1045,171.8351069238209,49,1,1,Tablet,UK,Bank Transfer,Purchase,0
471,1372,75.48845238062455,17,8,4,Unknown,UK,Crypto,Withdrawal,0
472,1517,84.49193760256064,98,13,0,Desktop,Germany,Debit Card,Purchase,0
473,1098,111.4346156289962,70,4,3,Desktop,Unknown,Bank Transfer,Transfer,0
474,1891,113.378271599481,110,8,3,Unknown,Unknown,Crypto,Withdrawal,0
475,1744,126.34177090691321,70,3,2,Mobile,UK,Crypto,Transfer,0
476,1036,180.40818155065398,98,9,3,Mobile,USA,Credit Card,Transfer,0
477,1279,92.92211090023802,65,2,0,Tablet,USA,Crypto,Withdrawal,0
478,1348,68.06811021846185,74,2,2,Desktop,USA,Bank Transfer,Transfer,0
479,1496,44.82723087941891,85,13,1,Unknown,Unknown,Credit Card,Transfer,0
480,1301,70.76279840232324,5,15,3,Mobile,Germany,Debit Card,Transfer,1
481,1180,98.67492108504811,2,12,2,Tablet,UK,Debit Card,Withdrawal,0
482,1606,171.78231454071152,22,4,0,Desktop,India,Bank Transfer,Withdrawal,0
483,1098,79.29554803855314,112,8,4,Desktop,Germany,Bank Transfer,Transfer,0
484,1699,108.95151806555594,57,9,4,Tablet,India,Credit Card,Withdrawal,0
485,1992,99.34308415708992,66,5,0,Tablet,Germany,Credit Card,Withdrawal,0
486,1115,147.53573093792335,74,18,0,Mobile,USA,Bank Transfer,Transfer,0
487,1190,201.07729703494488,98,11,4,Unknown,Unknown,Bank Transfer,Withdrawal,1
488,1252,78.76524908318717,16,15,2,Desktop,India,Debit Card,Purchase,0
489,1980,80.42242229927112,112,9,4,Unknown,Germany,Debit Card,Withdrawal,0
490,1927,141.76643508276288,51,17,0,Desktop,Unknown,Debit Card,Purchase,0
491,1982,127.27565958505245,39,12,3,Desktop,India,Bank Transfer,Transfer,0
492,1160,173.86829302944136,86,7,1,Unknown,UK,Crypto,Withdrawal,0
493,1255,123.35712741303855,76,10,3,Tablet,Germany,Bank Transfer,Transfer,0
494,1322,85.62831636851762,88,10,3,Mobile,UK,Bank Transfer,Transfer,0
495,1127,123.62619322769237,111,13,0,Desktop,USA,Debit Card,Transfer,0
496,1017,144.3481432233163,40,19,4,Tablet,UK,Bank Transfer,Transfer,0
497,1792,132.81928724789458,38,11,2,Desktop,UK,Credit Card,Transfer,0
498,1734,120.2909612442919,60,13,3,Mobile,Germany,Bank Transfer,Withdrawal,0
499,1565,142.66698758356614,59,8,4,Desktop,USA,Bank Transfer,Purchase,0
500,1569,146.7718236178269,10,8,2,Mobile,UK,Bank Transfer,Withdrawal,0
501,1322,155.2863596415011,99,4,3,Mobile,Unknown,Bank Transfer,Withdrawal,0
502,1871,125.94839550358572,64,15,2,Desktop,India,Crypto,Withdrawal,0
503,1685,93.31527678732583,115,11,4,Desktop,UK,Bank Transfer,Withdrawal,0
504,1791,105.86854745733291,63,11,1,Mobile,USA,Credit Card,Purchase,0
505,1625,148.26035866033428,49,1,4,Tablet,UK,Credit Card,Withdrawal,0
506,1287,67.32257316051056,64,17,0,Unknown,India,Bank Transfer,Transfer,0
507,1942,114.74693235491605,32,15,2,Mobile,USA,Debit Card,Withdrawal,0
508,1853,84.26644750690558,7,6,1,Desktop,Germany,Crypto,Withdrawal,0
509,1662,101.1497929173927,21,15,2,Desktop,USA,Bank Transfer,Purchase,0
510,1961,151.13807450429195,20,9,2,Tablet,Germany,Bank Transfer,Purchase,0
511,1638,107.64396272079614,26,14,3,Unknown,USA,Bank Transfer,Transfer,1
512,1154,101.85746192624595,68,18,0,Mobile,India,Debit Card,Withdrawal,0
513,1489,45.60575436080323,110,17,2,Mobile,India,Debit Card,Withdrawal,0
514,1385,129.85014264108884,116,18,4,Unknown,USA,Debit Card,Withdrawal,0
515,1985,125.81936724564301,86,5,4,Mobile,UK,Crypto,Transfer,0
516,1784,186.5301889322184,15,9,3,Unknown,India,Credit Card,Purchase,0
517,1103,87.68887060187997,104,11,0,Desktop,Germany,Crypto,Transfer,0
518,1928,108.76601310655755,85,1,0,Unknown,Germany,Debit Card,Withdrawal,0
519,1392,109.9753473484302,79,18,4,Mobile,Unknown,Credit Card,Purchase,0
520,1810,163.098131190539,86,6,1,Unknown,Germany,Credit Card,Purchase,0
521,1245,96.18817870452192,116,2,3,Tablet,Unknown,Debit Card,Transfer,0
522,1175,111.16086103081356,92,15,3,Desktop,USA,Debit Card,Purchase,0
523,1038,124.31586038866158,14,14,4,Desktop,USA,Crypto,Purchase,0
524,1476,107.46436492625432,27,5,4,Unknown,USA,Debit Card,Withdrawal,0
525,1681,82.14265541797887,105,6,1,Mobile,UK,Credit Card,Withdrawal,0
526,1758,107.7635997159323,40,6,1,Tablet,UK,Bank Transfer,Purchase,0
527,1537,142.94526999439088,58,18,0,Desktop,Unknown,Debit Card,Purchase,0
528,1866,58.93938802355759,28,14,3,Desktop,Germany,Debit Card,Transfer,0
529,1817,105.31878696587503,26,10,3,Mobile,Germany,Crypto,Transfer,0
530,1920,71.99516740243307,113,14,4,Mobile,USA,Crypto,Purchase,0
531,1407,147.8018651569937,63,13,0,Tablet,India,Debit Card,Withdrawal,0
532,1524,39.07252380864901,66,3,3,Unknown,UK,Credit Card,Purchase,0
533,1827,77.64312610913646,25,6,0,Mobile,UK,Credit Card,Purchase,0
534,1505,115.08847500258084,3,8,0,Unknown,USA,Bank Transfer,Withdrawal,0
535,1902,162.62096116937363,72,12,4,Tablet,UK,Debit Card,Withdrawal,0
536,1824,97.36998955708049,44,13,0,Unknown,USA,Crypto,Transfer,0
537,1035,77.79201893227207,97,11,1,Desktop,Unknown,Credit Card,Transfer,0
538,1684,175.2462827776236,42,12,1,Unknown,Germany,Bank Transfer,Transfer,0
539,1019,42.07944398335024,116,1,2,Tablet,India,Debit Card,Transfer,0
540,1320,12.04776173519673,99,17,4,Tablet,Germany,Credit Card,Withdrawal,0
541,1775,117.60057800213329,6,16,2,Tablet,Germany,Debit Card,Purchase,0
542,1511,79.91783102589555,39,11,1,Unknown,Unknown,Debit Card,Transfer,0
543,1399,59.150687314771474,52,13,2,Desktop,UK,Credit Card,Transfer,0
544,1653,128.33425789197412,23,18,4,Mobile,India,Credit Card,Withdrawal,0
545,1971,109.75202855084795,89,11,4,Desktop,UK,Credit Card,Withdrawal,0
546,1882,77.43685477053086,50,12,0,Unknown,Germany,Debit Card,Purchase,0
547,1470,48.78782405316422,43,6,3,Unknown,USA,Debit Card,Purchase,0
548,1142,134.89829313120578,19,9,0,Mobile,Germany,Bank Transfer,Withdrawal,0
549,1091,126.00804711834644,69,16,4,Unknown,UK,Crypto,Transfer,1
550,1353,96.03296544882468,51,4,1,Tablet,Germany,Debit Card,Transfer,0
551,1833,173.86547984190662,11,3,1,Tablet,USA,Crypto,Transfer,0
552,1799,57.1966093469539,12,16,0,Tablet,Unknown,Credit Card,Purchase,0
553,1726,38.97899316301044,74,12,4,Tablet,UK,Debit Card,Transfer,0
554,1958,72.32367720475023,8,11,1,Tablet,Germany,Bank Transfer,Transfer,0
555,1853,98.17655934578009,24,5,4,Unknown,UK,Bank Transfer,Withdrawal,0
556,1050,109.73357797290767,92,18,1,Mobile,Unknown,Crypto,Transfer,0
557,1664,90.35055768574681,41,19,4,Mobile,Germany,Credit Card,Withdrawal,0
558,1697,114.08221586057186,36,6,2,Tablet,Germany,Crypto,Transfer,0
559,1574,49.93842303238224,101,18,4,Unknown,UK,Credit Card,Purchase,0
560,1189,157.75058416293038,85,6,4,Desktop,UK,Bank Transfer,Transfer,0
561,1124,96.71395286429726,72,4,0,Desktop,USA,Crypto,Transfer,0
562,1149,144.6918332635251,55,12,2,Unknown,Unknown,Bank Transfer,Withdrawal,0
563,1313,113.70901385510817,9,19,3,Tablet,USA,Bank Transfer,Withdrawal,1
564,1569,118.27012876615136,47,2,0,Mobile,Germany,Credit Card,Withdrawal,0
565,1341,122.79069120928816,15,17,3,Unknown,UK,Crypto,Transfer,1
566,1304,117.90834240069259,48,11,1,Desktop,Germany,Crypto,Transfer,0
567,1691,125.70891039470176,110,11,3,Desktop,Germany,Bank Transfer,Purchase,0
568,1681,153.16610120529725,104,16,4,Desktop,India,Bank Transfer,Transfer,0
569,1837,107.86084678805881,82,2,3,Tablet,India,Credit Card,Purchase,0
570,1782,128.36015030354048,42,2,0,Desktop,Germany,Debit Card,Withdrawal,0
571,1053,96.41057222851093,60,8,0,Unknown,UK,Debit Card,Withdrawal,0
572,1443,157.60468861797892,84,13,3,Unknown,Germany,Bank Transfer,Withdrawal,0
573,1612,72.9443079176292,70,10,0,Desktop,India,Debit Card,Purchase,0
574,1992,172.03761731643263,12,8,0,Unknown,UK,Debit Card,Transfer,0
575,1263,98.39368197422627,2,4,3,Desktop,Germany,Debit Card,Withdrawal,0
576,1052,42.768995915278076,7,15,2,Desktop,Unknown,Debit Card,Transfer,0
577,1571,105.12417659643157,80,1,2,Mobile,Unknown,Bank Transfer,Transfer,0
578,1619,72.75793370100476,3,11,1,Tablet,Germany,Debit Card,Withdrawal,0
579,1004,133.62574195954898,109,7,0,Tablet,UK,Debit Card,Purchase,0
580,1102,73.89504082790437,3,17,3,Mobile,Germany,Credit Card,Transfer,1
581,1195,82.15266267140882,27,18,0,Mobile,Germany,Bank Transfer,Withdrawal,0
582,1773,24.418370762178768,114,12,4,Tablet,India,Crypto,Transfer,0
583,1876,81.90774723003693,107,9,0,Desktop,Unknown,Crypto,Transfer,0
584,1991,10.0,40,5,0,Desktop,India,Credit Card,Transfer,0
585,1883,36.64388706057107,102,10,2,Tablet,India,Credit Card,Transfer,0
586,1349,130.4165862457719,33,4,3,Desktop,Germany,Bank Transfer,Transfer,0
587,1046,131.4320063460333,92,5,0,Mobile,India,Crypto,Purchase,0
588,1866,117.01830247139858,1,10,2,Desktop,Unknown,Debit Card,Purchase,0
589,1822,61.32095427483148,119,11,1,Desktop,India,Credit Card,Withdrawal,0
590,1935,98.0915457543208,8,10,2,Unknown,Unknown,Crypto,Purchase,0
591,1819,99.85589843637726,101,8,2,Unknown,India,Bank Transfer,Purchase,0
592,1655,53.66541243229829,32,2,2,Unknown,Unknown,Debit Card,Purchase,0
593,1268,160.135932070686,48,8,0,Desktop,India,Bank Transfer,Transfer,0
594,1369,135.09449162302684,107,16,0,Tablet,India,Credit Card,Transfer,0
595,1635,91.16143304681344,101,5,1,Mobile,UK,Crypto,Withdrawal,0
596,1105,101.07543355978123,4,3,4,Desktop,Unknown,Crypto,Withdrawal,0
597,1669,108.3353123179021,94,12,4,Tablet,Unknown,Crypto,Withdrawal,0
598,1658,18.330605263028374,70,13,4,Desktop,Unknown,Crypto,Transfer,0
599,1656,90.11290469917613,110,13,1,Mobile,USA,Debit Card,Purchase,0
600,1119,72.72063008008806,118,10,4,Desktop,India,Debit Card,Purchase,0
601,1830,59.935199604203376,19,4,4,Mobile,Unknown,Bank Transfer,Transfer,0
602,1786,88.75598828456181,32,9,2,Desktop,USA,Debit Card,Withdrawal,0
603,1603,171.9074610739809,9,2,0,Mobile,UK,Credit Card,Withdrawal,0
604,1057,125.6337144506804,12,19,0,Desktop,Unknown,Credit Card,Withdrawal,0
605,1950,77.15284040868812,11,1,2,Mobile,Unknown,Crypto,Transfer,0
606,1345,122.90331125424635,46,7,2,Unknown,USA,Credit Card,Withdrawal,0
607,1740,155.97421746344008,119,17,2,Desktop,India,Bank Transfer,Withdrawal,0
608,1473,136.98534731651074,16,3,0,Desktop,UK,Debit Card,Transfer,0
609,1116,102.38521479680696,1,3,4,Tablet,Unknown,Debit Card,Purchase,0
610,1829,74.12252889177705,63,3,2,Tablet,India,Debit Card,Transfer,0
611,1790,127.9289325445436,109,17,1,Mobile,UK,Credit Card,Transfer,0
612,1126,115.73941541686999,119,7,2,Desktop,Germany,Debit Card,Transfer,0
613,1392,135.8077288011093,117,14,3,Mobile,Germany,Crypto,Transfer,0
614,1907,125.40687206727878,21,17,2,Unknown,UK,Crypto,Purchase,0
615,1640,141.9821086127734,30,18,0,Tablet,USA,Crypto,Withdrawal,0
616,1057,78.59059153757728,13,13,2,Mobile,UK,Credit Card,Transfer,0
617,1633,152.69576262537302,34,18,3,Mobile,UK,Debit Card,Purchase,0
618,1512,107.90398418769598,4,4,1,Tablet,USA,Credit Card,Withdrawal,0
619,1750,183.0104349050106,28,1,4,Desktop,USA,Debit Card,Withdrawal,0
620,1801,72.43248727641728,102,18,2,Mobile,India,Bank Transfer,Withdrawal,0
621,1095,169.43855212660998,95,1,3,Tablet,India,Bank Transfer,Transfer,0
622,1637,107.91643133850592,59,13,3,Desktop,USA,Credit Card,Transfer,0
623,1117,73.94327985542206,119,10,1,Unknown,Germany,Crypto,Withdrawal,0
624,1559,80.64456663782714,27,11,0,Tablet,Germany,Credit Card,Withdrawal,0
625,1600,87.1861076722272,69,9,2,Mobile,UK,Crypto,Withdrawal,0
626,1487,116.96663785607666,25,9,3,Unknown,Unknown,Debit Card,Withdrawal,0
627,1236,120.91341952141998,3,5,1,Desktop,UK,Crypto,Withdrawal,0
628,1884,77.05199984245684,97,1,4,Desktop,UK,Crypto,Withdrawal,0
629,1896,99.02581630956068,68,17,3,Tablet,Unknown,Debit Card,Purchase,0
630,1271,185.69081434447455,25,2,1,Tablet,USA,Bank Transfer,Withdrawal,0
631,1188,169.10172680402846,20,13,0,Tablet,Germany,Debit Card,Transfer,0
632,1998,117.45294678696129,34,9,0,Desktop,UK,Credit Card,Transfer,0
633,1703,101.52013912672801,26,4,3,Unknown,Unknown,Credit Card,Transfer,0
634,1446,104.80125306873045,5,5,3,Desktop,India,Credit Card,Withdrawal,0
635,1580,124.54071890921666,99,11,2,Mobile,UK,Credit Card,Transfer,0
636,1789,59.08829739206378,61,19,1,Desktop,Germany,Credit Card,Purchase,0
637,1860,89.70493850306619,92,3,3,Mobile,USA,Bank Transfer,Withdrawal,0
638,1246,33.25663704489642,93,12,2,Unknown,UK,Bank Transfer,Transfer,0
639,1962,115.96892490421118,9,19,2,Tablet,UK,Crypto,Purchase,0
640,1075,125.88783758810965,116,19,3,Tablet,Unknown,Credit Card,Purchase,0
641,1153,80.67254150802503,102,13,0,Desktop,India,Debit Card,Transfer,0
642,1655,162.9594705316013,50,7,1,Tablet,India,Credit Card,Purchase,0
643,1434,50.96937347990635,6,15,1,Unknown,USA,Bank Transfer,Transfer,1
644,1996,41.42500479160719,83,7,0,Tablet,Germany,Credit Card,Purchase,0
645,1085,108.97807274239888,60,8,3,Desktop,USA,Bank Transfer,Withdrawal,0
646,1696,141.88393210448618,44,5,1,Unknown,UK,Crypto,Withdrawal,0
647,1284,167.35710765831476,11,14,3,Mobile,UK,Crypto,Withdrawal,1
648,1973,81.6446294852424,66,4,3,Desktop,India,Crypto,Withdrawal,0
649,1219,143.14723333725183,47,10,2,Mobile,Germany,Bank Transfer,Withdrawal,0
650,1068,98.45966121997171,108,15,0,Unknown,Unknown,Credit Card,Transfer,0
651,1046,93.09490800236722,108,18,3,Desktop,Germany,Credit Card,Withdrawal,0
652,1093,135.3463974994669,73,13,4,Desktop,UK,Debit Card,Withdrawal,0
653,1749,126.09291513653679,85,8,0,Unknown,Unknown,Bank Transfer,Withdrawal,0
654,1957,36.94431372063002,88,9,1,Tablet,Germany,Debit Card,Withdrawal,0
655,1452,159.06161398903583,98,16,2,Desktop,Germany,Crypto,Purchase,0
656,1203,155.20365416589806,86,19,1,Desktop,Unknown,Credit Card,Withdrawal,0
657,1911,74.97749193961883,3,16,1,Mobile,UK,Bank Transfer,Withdrawal,0
658,1217,115.83214133749637,76,7,0,Tablet,Germany,Debit Card,Transfer,0
659,1473,119.76120745130956,92,14,1,Mobile,Unknown,Debit Card,Purchase,0
660,1431,110.42695063295628,30,14,3,Mobile,UK,Debit Card,Transfer,0
661,1340,77.9877938461832,90,4,1,Tablet,Unknown,Credit Card,Withdrawal,0
662,1550,73.13506528247794,112,15,2,Tablet,Unknown,Credit Card,Transfer,0
663,1611,98.97783716034219,21,3,2,Unknown,Germany,Credit Card,Transfer,0
664,1288,146.90916077037457,28,5,4,Tablet,UK,Bank Transfer,Withdrawal,0
665,1253,121.74400618377729,90,1,2,Desktop,Germany,Credit Card,Purchase,0
666,1733,85.17542671655576,62,3,1,Tablet,USA,Bank Transfer,Purchase,0
667,1356,130.86794842593378,33,15,2,Unknown,USA,Debit Card,Transfer,0
668,1022,10.0,85,8,0,Unknown,UK,Debit Card,Withdrawal,0
669,1761,145.95062801488413,35,4,2,Unknown,Unknown,Crypto,Transfer,0
670,1521,30.41144884887602,52,2,3,Tablet,Germany,Credit Card,Transfer,0
